"","term","gene","human","mouse"
"12434","fetal.epithelium.signature.all_Kazakevych_2017",NA,"FAM198B",NA
"12435","fetal.epithelium.signature.all_Kazakevych_2017",NA,"2410089E03RIK",NA
"12436","fetal.epithelium.signature.all_Kazakevych_2017","Arl4c","ARL4C","Arl4c"
"12437","fetal.epithelium.signature.all_Kazakevych_2017","Tcp11l1","TCP11L1","Tcp11l1"
"12438","fetal.epithelium.signature.all_Kazakevych_2017","Plekho1","PLEKHO1","Plekho1"
"12439","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LDOC1",NA
"12440","fetal.epithelium.signature.all_Kazakevych_2017","Adamts16","ADAMTS16","Adamts16"
"12441","fetal.epithelium.signature.all_Kazakevych_2017","Dtnb","DTNB","Dtnb"
"12442","fetal.epithelium.signature.all_Kazakevych_2017","Pxdn","PXDN","Pxdn"
"12443","fetal.epithelium.signature.all_Kazakevych_2017","Camta1","CAMTA1","Camta1"
"12444","fetal.epithelium.signature.all_Kazakevych_2017","Dync2h1","DYNC2H1","Dync2h1"
"12445","fetal.epithelium.signature.all_Kazakevych_2017",NA,"5031426D15RIK",NA
"12446","fetal.epithelium.signature.all_Kazakevych_2017","Kif1a","KIF1A","Kif1a"
"12447","fetal.epithelium.signature.all_Kazakevych_2017","Zfp385a","ZFP385A","Zfp385a"
"12448","fetal.epithelium.signature.all_Kazakevych_2017","Upk1a","UPK1A","Upk1a"
"12449","fetal.epithelium.signature.all_Kazakevych_2017","Gfra2","GFRA2","Gfra2"
"12450","fetal.epithelium.signature.all_Kazakevych_2017","Cyfip2","CYFIP2","Cyfip2"
"12451","fetal.epithelium.signature.all_Kazakevych_2017","Lypd6b","LYPD6B","Lypd6b"
"12452","fetal.epithelium.signature.all_Kazakevych_2017","Amer2","AMER2","Amer2"
"12453","fetal.epithelium.signature.all_Kazakevych_2017","Adcy1","ADCY1","Adcy1"
"12454","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LAMA1",NA
"12455","fetal.epithelium.signature.all_Kazakevych_2017","Pcdhga5","PCDHGA5","Pcdhga5"
"12456","fetal.epithelium.signature.all_Kazakevych_2017","Prickle1","PRICKLE1","Prickle1"
"12457","fetal.epithelium.signature.all_Kazakevych_2017","Cnn3","CNN3","Cnn3"
"12458","fetal.epithelium.signature.all_Kazakevych_2017","Cpn1","CPN1","Cpn1"
"12459","fetal.epithelium.signature.all_Kazakevych_2017","Akap12","AKAP12","Akap12"
"12460","fetal.epithelium.signature.all_Kazakevych_2017",NA,"EMB",NA
"12461","fetal.epithelium.signature.all_Kazakevych_2017","Xylt1","XYLT1","Xylt1"
"12462","fetal.epithelium.signature.all_Kazakevych_2017","Lrrc4","LRRC4","Lrrc4"
"12463","fetal.epithelium.signature.all_Kazakevych_2017","Plekhh2","PLEKHH2","Plekhh2"
"12464","fetal.epithelium.signature.all_Kazakevych_2017","Mmp14","MMP14","Mmp14"
"12465","fetal.epithelium.signature.all_Kazakevych_2017","Phc1","PHC1","Phc1"
"12466","fetal.epithelium.signature.all_Kazakevych_2017",NA,"4921506M07RIK",NA
"12467","fetal.epithelium.signature.all_Kazakevych_2017",NA,"L3MBTL4",NA
"12468","fetal.epithelium.signature.all_Kazakevych_2017","Nav2","NAV2","Nav2"
"12469","fetal.epithelium.signature.all_Kazakevych_2017","Fzd2","FZD2","Fzd2"
"12470","fetal.epithelium.signature.all_Kazakevych_2017","Glrb","GLRB","Glrb"
"12471","fetal.epithelium.signature.all_Kazakevych_2017","Kctd15","KCTD15","Kctd15"
"12472","fetal.epithelium.signature.all_Kazakevych_2017","Fbrsl1","FBRSL1","Fbrsl1"
"12473","fetal.epithelium.signature.all_Kazakevych_2017","Tmem132a","TMEM132A","Tmem132a"
"12474","fetal.epithelium.signature.all_Kazakevych_2017","Ypel1","YPEL1","Ypel1"
"12475","fetal.epithelium.signature.all_Kazakevych_2017","Rps6ka2","RPS6KA2","Rps6ka2"
"12476","fetal.epithelium.signature.all_Kazakevych_2017","Abcc4","ABCC4","Abcc4"
"12477","fetal.epithelium.signature.all_Kazakevych_2017","Satb2","SATB2","Satb2"
"12478","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LRCH2",NA
"12479","fetal.epithelium.signature.all_Kazakevych_2017","Lrpap1","LRPAP1","Lrpap1"
"12480","fetal.epithelium.signature.all_Kazakevych_2017",NA,"9830001H06RIK",NA
"12481","fetal.epithelium.signature.all_Kazakevych_2017",NA,"DIO3",NA
"12482","fetal.epithelium.signature.all_Kazakevych_2017","Dzip1","DZIP1","Dzip1"
"12483","fetal.epithelium.signature.all_Kazakevych_2017","Raet1e","RAET1E","Raet1e"
"12484","fetal.epithelium.signature.all_Kazakevych_2017","G530011O06Rik","G530011O06RIK","G530011O06Rik"
"12485","fetal.epithelium.signature.all_Kazakevych_2017","Tubb6","TUBB6","Tubb6"
"12486","fetal.epithelium.signature.all_Kazakevych_2017","Camsap2","CAMSAP2","Camsap2"
"12487","fetal.epithelium.signature.all_Kazakevych_2017",NA,"BC016423",NA
"12488","fetal.epithelium.signature.all_Kazakevych_2017",NA,"4930563F08RIK",NA
"12489","fetal.epithelium.signature.all_Kazakevych_2017","Ccdc88a","CCDC88A","Ccdc88a"
"12490","fetal.epithelium.signature.all_Kazakevych_2017","Sdc3","SDC3","Sdc3"
"12491","fetal.epithelium.signature.all_Kazakevych_2017","Fam217b","FAM217B","Fam217b"
"12492","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GPRASP2",NA
"12493","fetal.epithelium.signature.all_Kazakevych_2017","Hspg2","HSPG2","Hspg2"
"12494","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SLC8A1",NA
"12495","fetal.epithelium.signature.all_Kazakevych_2017","Macf1","MACF1","Macf1"
"12496","fetal.epithelium.signature.all_Kazakevych_2017","Axl","AXL","Axl"
"12497","fetal.epithelium.signature.all_Kazakevych_2017","Rai1","RAI1","Rai1"
"12498","fetal.epithelium.signature.all_Kazakevych_2017","Sfrp2","SFRP2","Sfrp2"
"12499","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PDE6C",NA
"12500","fetal.epithelium.signature.all_Kazakevych_2017","Purg","PURG","Purg"
"12501","fetal.epithelium.signature.all_Kazakevych_2017","Maged1","MAGED1","Maged1"
"12502","fetal.epithelium.signature.all_Kazakevych_2017","Zfp937","ZFP937","Zfp937"
"12503","fetal.epithelium.signature.all_Kazakevych_2017","Garnl3","GARNL3","Garnl3"
"12504","fetal.epithelium.signature.all_Kazakevych_2017","Olfm1","OLFM1","Olfm1"
"12505","fetal.epithelium.signature.all_Kazakevych_2017","Wnt5a","WNT5A","Wnt5a"
"12506","fetal.epithelium.signature.all_Kazakevych_2017","Pcbp4","PCBP4","Pcbp4"
"12507","fetal.epithelium.signature.all_Kazakevych_2017","Cpm","CPM","Cpm"
"12508","fetal.epithelium.signature.all_Kazakevych_2017","Nlgn2","NLGN2","Nlgn2"
"12509","fetal.epithelium.signature.all_Kazakevych_2017","Slitrk6","SLITRK6","Slitrk6"
"12510","fetal.epithelium.signature.all_Kazakevych_2017","Samd4","SAMD4","Samd4"
"12511","fetal.epithelium.signature.all_Kazakevych_2017","Ptpru","PTPRU","Ptpru"
"12512","fetal.epithelium.signature.all_Kazakevych_2017","Ajuba","AJUBA","Ajuba"
"12513","fetal.epithelium.signature.all_Kazakevych_2017","Tenm4","TENM4","Tenm4"
"12514","fetal.epithelium.signature.all_Kazakevych_2017","Fam169a","FAM169A","Fam169a"
"12515","fetal.epithelium.signature.all_Kazakevych_2017",NA,"BMPR1B",NA
"12516","fetal.epithelium.signature.all_Kazakevych_2017","Tmem44","TMEM44","Tmem44"
"12517","fetal.epithelium.signature.all_Kazakevych_2017","Limd2","LIMD2","Limd2"
"12518","fetal.epithelium.signature.all_Kazakevych_2017","Slc4a8","SLC4A8","Slc4a8"
"12519","fetal.epithelium.signature.all_Kazakevych_2017","Arnt2","ARNT2","Arnt2"
"12520","fetal.epithelium.signature.all_Kazakevych_2017","Arg1","ARG1","Arg1"
"12521","fetal.epithelium.signature.all_Kazakevych_2017",NA,"KLHL13",NA
"12522","fetal.epithelium.signature.all_Kazakevych_2017","Pkia","PKIA","Pkia"
"12523","fetal.epithelium.signature.all_Kazakevych_2017","Meis1","MEIS1","Meis1"
"12524","fetal.epithelium.signature.all_Kazakevych_2017","Pdgfc","PDGFC","Pdgfc"
"12525","fetal.epithelium.signature.all_Kazakevych_2017","Zfp354c","ZFP354C","Zfp354c"
"12526","fetal.epithelium.signature.all_Kazakevych_2017","Gm4787","GM4787","Gm4787"
"12527","fetal.epithelium.signature.all_Kazakevych_2017","Sh3bp5","SH3BP5","Sh3bp5"
"12528","fetal.epithelium.signature.all_Kazakevych_2017",NA,"DIO3OS",NA
"12529","fetal.epithelium.signature.all_Kazakevych_2017",NA,"4933434I20RIK",NA
"12530","fetal.epithelium.signature.all_Kazakevych_2017","Dab2ip","DAB2","Dab2ip"
"12531","fetal.epithelium.signature.all_Kazakevych_2017","Capn6","CAPN6","Capn6"
"12532","fetal.epithelium.signature.all_Kazakevych_2017","Nrep","NREP","Nrep"
"12533","fetal.epithelium.signature.all_Kazakevych_2017","Wdr6","WDR6","Wdr6"
"12534","fetal.epithelium.signature.all_Kazakevych_2017","Stxbp4","STXBP4","Stxbp4"
"12535","fetal.epithelium.signature.all_Kazakevych_2017","Gulp1","GULP1","Gulp1"
"12536","fetal.epithelium.signature.all_Kazakevych_2017","Clasp1","CLASP1","Clasp1"
"12537","fetal.epithelium.signature.all_Kazakevych_2017","Ptpn14","PTPN14","Ptpn14"
"12538","fetal.epithelium.signature.all_Kazakevych_2017","Zc2hc1a","ZC2HC1A","Zc2hc1a"
"12539","fetal.epithelium.signature.all_Kazakevych_2017",NA,"NSG1",NA
"12540","fetal.epithelium.signature.all_Kazakevych_2017","Enpp2","ENPP2","Enpp2"
"12541","fetal.epithelium.signature.all_Kazakevych_2017","Snhg11","SNHG11","Snhg11"
"12542","fetal.epithelium.signature.all_Kazakevych_2017","Irak1bp1","IRAK1BP1","Irak1bp1"
"12543","fetal.epithelium.signature.all_Kazakevych_2017","Phldb2","PHLDB2","Phldb2"
"12544","fetal.epithelium.signature.all_Kazakevych_2017","Grik5","GRIK5","Grik5"
"12545","fetal.epithelium.signature.all_Kazakevych_2017","Midn","MIDN","Midn"
"12546","fetal.epithelium.signature.all_Kazakevych_2017","Susd4","SUSD4","Susd4"
"12547","fetal.epithelium.signature.all_Kazakevych_2017","Cand2","CAND2","Cand2"
"12548","fetal.epithelium.signature.all_Kazakevych_2017","D16Ertd472e","D16ERTD472E","D16Ertd472e"
"12549","fetal.epithelium.signature.all_Kazakevych_2017","Smarca1","SMARCA1","Smarca1"
"12550","fetal.epithelium.signature.all_Kazakevych_2017","Plekhg1","PLEKHG1","Plekhg1"
"12551","fetal.epithelium.signature.all_Kazakevych_2017","Heatr6","HEATR6","Heatr6"
"12552","fetal.epithelium.signature.all_Kazakevych_2017","Ldhb","LDHB","Ldhb"
"12553","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PRRG3",NA
"12554","fetal.epithelium.signature.all_Kazakevych_2017","Dcakd","DCAKD","Dcakd"
"12555","fetal.epithelium.signature.all_Kazakevych_2017","Tnks","TNKS","Tnks"
"12556","fetal.epithelium.signature.all_Kazakevych_2017","Ttc8","TTC8","Ttc8"
"12557","fetal.epithelium.signature.all_Kazakevych_2017","Fhl1","FHL1","Fhl1"
"12558","fetal.epithelium.signature.all_Kazakevych_2017","Rdx","RDX","Rdx"
"12559","fetal.epithelium.signature.all_Kazakevych_2017",NA,"BEND4",NA
"12560","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SERPINE2",NA
"12561","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PHXR4",NA
"12562","fetal.epithelium.signature.all_Kazakevych_2017","Calcrl","CALCRL","Calcrl"
"12563","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GPR171",NA
"12564","fetal.epithelium.signature.all_Kazakevych_2017","Evl","EVL","Evl"
"12565","fetal.epithelium.signature.all_Kazakevych_2017","H60b","H60B","H60b"
"12566","fetal.epithelium.signature.all_Kazakevych_2017","Ppp4r4","PPP4R4","Ppp4r4"
"12567","fetal.epithelium.signature.all_Kazakevych_2017",NA,"AKR1D1",NA
"12568","fetal.epithelium.signature.all_Kazakevych_2017",NA,"CAMK1G",NA
"12569","fetal.epithelium.signature.all_Kazakevych_2017","Gabre","GABRE","Gabre"
"12570","fetal.epithelium.signature.all_Kazakevych_2017","Celf4","CELF4","Celf4"
"12571","fetal.epithelium.signature.all_Kazakevych_2017","Shroom4","SHROOM4","Shroom4"
"12572","fetal.epithelium.signature.all_Kazakevych_2017","Cpne8","CPNE8","Cpne8"
"12573","fetal.epithelium.signature.all_Kazakevych_2017","Grb10","GRB10","Grb10"
"12574","fetal.epithelium.signature.all_Kazakevych_2017","Pcdhga3","PCDHGA3","Pcdhga3"
"12575","fetal.epithelium.signature.all_Kazakevych_2017","Khdrbs3","KHDRBS3","Khdrbs3"
"12576","fetal.epithelium.signature.all_Kazakevych_2017","Mdk","MDK","Mdk"
"12577","fetal.epithelium.signature.all_Kazakevych_2017",NA,"IRX1",NA
"12578","fetal.epithelium.signature.all_Kazakevych_2017","Fndc4","FNDC4","Fndc4"
"12579","fetal.epithelium.signature.all_Kazakevych_2017","Gpc1","GPC1","Gpc1"
"12580","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LONRF2",NA
"12581","fetal.epithelium.signature.all_Kazakevych_2017","Sptbn2","SPTBN2","Sptbn2"
"12582","fetal.epithelium.signature.all_Kazakevych_2017","Apbb1","APBB1","Apbb1"
"12583","fetal.epithelium.signature.all_Kazakevych_2017","Rbp1","RBP1","Rbp1"
"12584","fetal.epithelium.signature.all_Kazakevych_2017",NA,"4930487H11RIK",NA
"12585","fetal.epithelium.signature.all_Kazakevych_2017","Cbx2","CBX2","Cbx2"
"12586","fetal.epithelium.signature.all_Kazakevych_2017","B4galt2","B4GALT2","B4galt2"
"12587","fetal.epithelium.signature.all_Kazakevych_2017","Pdlim4","PDLIM4","Pdlim4"
"12588","fetal.epithelium.signature.all_Kazakevych_2017","Megf9","MEGF9","Megf9"
"12589","fetal.epithelium.signature.all_Kazakevych_2017","Nbea","NBEA","Nbea"
"12590","fetal.epithelium.signature.all_Kazakevych_2017","Dhdh","DHDH","Dhdh"
"12591","fetal.epithelium.signature.all_Kazakevych_2017","Ninl","NINL","Ninl"
"12592","fetal.epithelium.signature.all_Kazakevych_2017","Arhgef25","ARHGEF25","Arhgef25"
"12593","fetal.epithelium.signature.all_Kazakevych_2017","Tmie","TMIE","Tmie"
"12594","fetal.epithelium.signature.all_Kazakevych_2017","Gpc2","GPC2","Gpc2"
"12595","fetal.epithelium.signature.all_Kazakevych_2017",NA,"JAM3",NA
"12596","fetal.epithelium.signature.all_Kazakevych_2017","Zc4h2","ZC4H2","Zc4h2"
"12597","fetal.epithelium.signature.all_Kazakevych_2017","Afap1","AFAP1","Afap1"
"12598","fetal.epithelium.signature.all_Kazakevych_2017","Mylip","MYLIP","Mylip"
"12599","fetal.epithelium.signature.all_Kazakevych_2017","Cacnb3","CACNB3","Cacnb3"
"12600","fetal.epithelium.signature.all_Kazakevych_2017","Mvb12b","MVB12B","Mvb12b"
"12601","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PCDHGB4",NA
"12602","fetal.epithelium.signature.all_Kazakevych_2017","Col5a1","COL5A1","Col5a1"
"12603","fetal.epithelium.signature.all_Kazakevych_2017","Pcdhgb5","PCDHGB5","Pcdhgb5"
"12604","fetal.epithelium.signature.all_Kazakevych_2017","Skida1","SKIDA1","Skida1"
"12605","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PCBP3",NA
"12606","fetal.epithelium.signature.all_Kazakevych_2017","Nphp1","NPHP1","Nphp1"
"12607","fetal.epithelium.signature.all_Kazakevych_2017","Cux1","CUX1","Cux1"
"12608","fetal.epithelium.signature.all_Kazakevych_2017","Zc3h12b","ZC3H12B","Zc3h12b"
"12609","fetal.epithelium.signature.all_Kazakevych_2017","Ptbp2","PTBP2","Ptbp2"
"12610","fetal.epithelium.signature.all_Kazakevych_2017","Antxr1","ANTXR1","Antxr1"
"12611","fetal.epithelium.signature.all_Kazakevych_2017",NA,"MURC",NA
"12612","fetal.epithelium.signature.all_Kazakevych_2017","Arid3b","ARID3B","Arid3b"
"12613","fetal.epithelium.signature.all_Kazakevych_2017","Ift57","IFT57","Ift57"
"12614","fetal.epithelium.signature.all_Kazakevych_2017","Crabp2","CRABP2","Crabp2"
"12615","fetal.epithelium.signature.all_Kazakevych_2017",NA,"FNDC3C1",NA
"12616","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LPHN1",NA
"12617","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LARGE",NA
"12618","fetal.epithelium.signature.all_Kazakevych_2017","Celf2","CELF2","Celf2"
"12619","fetal.epithelium.signature.all_Kazakevych_2017","Map7d2","MAP7D2","Map7d2"
"12620","fetal.epithelium.signature.all_Kazakevych_2017","Gdf11","GDF11","Gdf11"
"12621","fetal.epithelium.signature.all_Kazakevych_2017","Mical3","MICAL3","Mical3"
"12622","fetal.epithelium.signature.all_Kazakevych_2017","Fermt2","FERMT2","Fermt2"
"12623","fetal.epithelium.signature.all_Kazakevych_2017","Ift80","IFT80","Ift80"
"12624","fetal.epithelium.signature.all_Kazakevych_2017","Dact1","DACT1","Dact1"
"12625","fetal.epithelium.signature.all_Kazakevych_2017","Tspan6","TSPAN6","Tspan6"
"12626","fetal.epithelium.signature.all_Kazakevych_2017",NA,"EVI2B",NA
"12627","fetal.epithelium.signature.all_Kazakevych_2017","Uggt2","UGGT2","Uggt2"
"12628","fetal.epithelium.signature.all_Kazakevych_2017",NA,"A830080D01RIK",NA
"12629","fetal.epithelium.signature.all_Kazakevych_2017","Ccdc92","CCDC92","Ccdc92"
"12630","fetal.epithelium.signature.all_Kazakevych_2017",NA,"E030024N20RIK",NA
"12631","fetal.epithelium.signature.all_Kazakevych_2017","Arhgef40","ARHGEF40","Arhgef40"
"12632","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PCDHGA10",NA
"12633","fetal.epithelium.signature.all_Kazakevych_2017","Ppm1l","PPM1L","Ppm1l"
"12634","fetal.epithelium.signature.all_Kazakevych_2017","Tmem123","TMEM123","Tmem123"
"12635","fetal.epithelium.signature.all_Kazakevych_2017","Nccrp1","NCCRP1","Nccrp1"
"12636","fetal.epithelium.signature.all_Kazakevych_2017",NA,"4933413L06RIK",NA
"12637","fetal.epithelium.signature.all_Kazakevych_2017","Zfhx2","ZFHX2","Zfhx2"
"12638","fetal.epithelium.signature.all_Kazakevych_2017","E130308A19Rik","E130308A19RIK","E130308A19Rik"
"12639","fetal.epithelium.signature.all_Kazakevych_2017",NA,"MIR28B",NA
"12640","fetal.epithelium.signature.all_Kazakevych_2017","Fscn1","FSCN1","Fscn1"
"12641","fetal.epithelium.signature.all_Kazakevych_2017",NA,"4921511H03RIK",NA
"12642","fetal.epithelium.signature.all_Kazakevych_2017","Grik4","GRIK4","Grik4"
"12643","fetal.epithelium.signature.all_Kazakevych_2017","Tpbg","TPBG","Tpbg"
"12644","fetal.epithelium.signature.all_Kazakevych_2017","Fam20c","FAM20C","Fam20c"
"12645","fetal.epithelium.signature.all_Kazakevych_2017","Gpsm1","GPSM1","Gpsm1"
"12646","fetal.epithelium.signature.all_Kazakevych_2017","Rcbtb2","RCBTB2","Rcbtb2"
"12647","fetal.epithelium.signature.all_Kazakevych_2017","Pitpnc1","PITPNC1","Pitpnc1"
"12648","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SLC24A3",NA
"12649","fetal.epithelium.signature.all_Kazakevych_2017","Zfat","ZFAT","Zfat"
"12650","fetal.epithelium.signature.all_Kazakevych_2017","Slc25a30","SLC25A30","Slc25a30"
"12651","fetal.epithelium.signature.all_Kazakevych_2017",NA,"HS6ST3",NA
"12652","fetal.epithelium.signature.all_Kazakevych_2017","Smarcd1","SMARCD1","Smarcd1"
"12653","fetal.epithelium.signature.all_Kazakevych_2017","Sox5","SOX5","Sox5"
"12654","fetal.epithelium.signature.all_Kazakevych_2017","Gprasp1","GPRASP1","Gprasp1"
"12655","fetal.epithelium.signature.all_Kazakevych_2017","Moxd1","MOXD1","Moxd1"
"12656","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SERPINA1A",NA
"12657","fetal.epithelium.signature.all_Kazakevych_2017","Map1b","MAP1B","Map1b"
"12658","fetal.epithelium.signature.all_Kazakevych_2017","Plxna3","PLXNA3","Plxna3"
"12659","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PCDHGA7",NA
"12660","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GM12504",NA
"12661","fetal.epithelium.signature.all_Kazakevych_2017",NA,"RANBP17",NA
"12662","fetal.epithelium.signature.all_Kazakevych_2017","Twsg1","TWSG1","Twsg1"
"12663","fetal.epithelium.signature.all_Kazakevych_2017","Ybx2","YBX2","Ybx2"
"12664","fetal.epithelium.signature.all_Kazakevych_2017","Tmeff1","TMEFF1","Tmeff1"
"12665","fetal.epithelium.signature.all_Kazakevych_2017","6330403K07Rik","6330403K07RIK","6330403K07Rik"
"12666","fetal.epithelium.signature.all_Kazakevych_2017","Pard6g","PARD6G","Pard6g"
"12667","fetal.epithelium.signature.all_Kazakevych_2017","2210408I21Rik","2210408I21RIK","2210408I21Rik"
"12668","fetal.epithelium.signature.all_Kazakevych_2017","Pram1","PRAM1","Pram1"
"12669","fetal.epithelium.signature.all_Kazakevych_2017","Kcnv2","KCNV2","Kcnv2"
"12670","fetal.epithelium.signature.all_Kazakevych_2017",NA,"HS6ST2",NA
"12671","fetal.epithelium.signature.all_Kazakevych_2017","Mylk3","MYLK3","Mylk3"
"12672","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SCARA3",NA
"12673","fetal.epithelium.signature.all_Kazakevych_2017","Rbm4b","RBM4B","Rbm4b"
"12674","fetal.epithelium.signature.all_Kazakevych_2017",NA,"TBRG3",NA
"12675","fetal.epithelium.signature.all_Kazakevych_2017","Tfcp2l1","TFCP2L1","Tfcp2l1"
"12676","fetal.epithelium.signature.all_Kazakevych_2017","Ripply3","RIPPLY3","Ripply3"
"12677","fetal.epithelium.signature.all_Kazakevych_2017","Meis3","MEIS3","Meis3"
"12678","fetal.epithelium.signature.all_Kazakevych_2017","Trim43c","TRIM43C","Trim43c"
"12679","fetal.epithelium.signature.all_Kazakevych_2017","Pcdhga9","PCDHGA9","Pcdhga9"
"12680","fetal.epithelium.signature.all_Kazakevych_2017","Lpcat1","LPCAT1","Lpcat1"
"12681","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LPAR3",NA
"12682","fetal.epithelium.signature.all_Kazakevych_2017","Fzd7","FZD7","Fzd7"
"12683","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SLC17A1",NA
"12684","fetal.epithelium.signature.all_Kazakevych_2017",NA,"B3GALNT1",NA
"12685","fetal.epithelium.signature.all_Kazakevych_2017",NA,"MIR378B",NA
"12686","fetal.epithelium.signature.all_Kazakevych_2017",NA,"OMD",NA
"12687","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ASPN",NA
"12688","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SERPINA1C",NA
